Category,Sub Catagory,Type,Brand,product,Product Description,Price,Tax,Image,Store,Size,UOM,Spice Level,Aisle No.
Dorm Essentials,Cleaning Products,Carpet Cleaner,Arm & Hammer,Arm & Hammer Fresh Scentsations Fresh Breeze Carpet Odor Eliminator,,1.89,1,16777.jpg,,30,oz,,15
Dorm Essentials,Cleaning Products,Cleaning Brush,Butler Gum,Butler Gum Brass Pot/Pan Brush,,2.69,1,No Image.jpg,,1,count,,15
Dorm Essentials,Cleaning Products,Cleaning Brush,Butler Gum,"Butler Gum Brush & Caddy Set, Round Bowl",,6.09,1,4269.jpg,,1,count,,15
Dorm Essentials,Cleaning Products,Cleaning Brush,Butler Gum,"Butler Gum Brush, Iron Handle",,3.49,1,4268.jpg,,1,count,,15
Dorm Essentials,Laundry,Laundry Detergent,Gain,"Gain flings! Liquid Laundry Detergent Pacs, Original",,6.86,1,16783.jpg,,16,count,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Ajax,Ajax Bleach Alternative Grapefruit Dish Liquid,,2.49,1,4374.jpg,,30,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Ajax,Ajax Super Degreaser Dish Liquid Lemon,,1.29,1,4372.jpg,,16,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Ajax,Ajax Super Degreaser Dish Liquid Lemon,,1.29,1,4373.jpg,,12.6,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Ajax,Ajax Super Degreaser Lemon Dish Liquid,,2.49,1,4371.jpg,,30,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Cascade,Cascade Dawn 10X Power Dishwashing Detergent,,4.89,1,4329.jpg,,20,count,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Dawn,"Dawn Dishwashing Liquid Dish Soap, Refreshing Rain",,3.69,1,18059.jpg,,18,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Dawn,Dawn Ultra Dishwashing Liquid Apple Blossom Scent,,3.69,1,4365.jpg,,21.6,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Dawn,"Dawn Ultra Dishwashing Liquid Dish Soap, Original Scent",,3.69,1,18057.jpg,,19.4,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Dawn,Dawn Ultra Dishwashing Liquid Original Scent,,5.49,1,4362.jpg,,38,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Dawn,"Dawn Ultra Dishwashing Liquid, Original",,1.29,1,16840.jpg,,8,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Finish,Finish Powerball Max in 1 Dish Detergent,,13.49,1,4348.jpg,,63,x 39.9 oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Market Basket,Market Basket Green Apple Liquid Detergent,,2.49,1,Market Basket.jpg,,20,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Palmolive,Palmolive Antibacterial Dish Liquid,,2.69,1,4357.jpg,,20,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Palmolive,Palmolive OXY Dish Liquid Power Degreaser,,3.49,1,18063.jpg,,25,fl oz,,15
Dorm Essentials,Dish Detergents,Dish Liquid,Palmolive,Palmolive Ultra AntiBacterial Concentrated Dish Liquid,,3.69,1,4356.jpg,,30,fl oz,,15
Dorm Essentials,Food Storage & Kitchen Supplies,Aluminium Foil,Reynolds,Reynolds Wrap Aluminum Foil,,4.59,1,2409.jpg,,75,sq ft,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Aluminium Foil,Reynolds,Reynolds Wrap Aluminum Foil Aluminum Foil,,9.79,1,16859.jpg,,200,sq ft,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Aluminium Foil,Reynolds,Reynolds Wrap Aluminum Foil Heavy Duty,,4.59,1,2408.jpg,,50,sq ft,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Aluminium Foil,Reynolds,Reynolds Wrap Heavy Duty Non-Stick Aluminum Foil,,4.59,1,4421.jpg,,35,sq ft,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Baking Pan,Reynolds,Reynolds Bakeware 13.25 in x 9.63 in x 2.75 in Non-Stick with Lid Baking Pan,,6.99,1,4481.jpg,,1,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Cake Pans,Hefty,"Hefty Ez Foil 12 3/4 x 9 x 1 27/32"" EZ Elegance Cake Pans with Covers",,3.09,1,4471.jpg,,2,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Cake Pans,Hefty,Hefty Ez Foil 8 in. x 8 in. x 1.62 in. Cake Pans,,2.49,1,4462.jpg,,3,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Cake Pans,Hefty,Hefty Ez Foil 8 in. x 8 in. x 1.62 in. with Lids Cake Pans,,4.89,1,4468.jpg,,3,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Cake Pans,Hefty,"Hefty Ez Foil 8.5"" Dia. X 1.5"" Cake Pans",,1.89,1,4470.jpg,,3,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Cake Pans,Reynolds,"Reynolds Bakeware 12 3/4 x 9 x 1 27/32"" EZ Occasions with Covers Cake Pans",,4.89,1,4482.jpg,,2,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Cake Pans,Reynolds,"Reynolds Bakeware 8 x 8 x 1 5/8"" EZ Occasions with Covers Cake Pans",,1.29,1,4478.jpg,,3,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Casserole Pans,Hefty,Hefty Ez Foil 11 3/4 in x 9 1/4 in x 1 1/2 in Casserole Pans,,3.09,1,4460.jpg,,2,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Casserole Pans,Hefty,Hefty Ez Foil 11 3/4 in x 9 1/4 in x 1 1/2 in Casserole Pans,,4.89,1,4472.jpg,,2,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Corkscrew,OXO,OXO Corkscrew,,9.79,1,16865.jpg,,1,count ,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Lasagna Pans,Hefty,Hefty Ez Foil 13 1/4 in x 9 5/8 in x 2 3/4 in Lasagna Pan,,3.09,1,4461.jpg,,1,count,,12
Dorm Essentials,Laundry,Fabric Softener,Ecos,"Ecos Laundry Detergent, Hypoallergenic, Built-in Fabric Softener, Lavender",,14.99,1,16907.jpg,,100,oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all Detergent Free Clear,,10.61,1,4548.jpg,,94.5,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Laundry Detergent Liquid Clean Burst,,6.24,1,4551.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Laundry Detergent Liquid Clean Burst,,4.99,1,4563.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Gain,"Gain Aroma Boost Liquid Laundry Detergent, Original",,7.49,1,4586.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Gain,"Gain Powder Laundry Detergent for Regular and HE Washers, Hawaiian Aloha Scent,",,13.74,1,4593.jpg,,100,oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Planet,"Planet Laundry Detergent, 2x Ultra, Free & Clear",,12.49,1,16875.jpg,,50,oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex,Purex Free & Clear Laundry Laundry Detergent,,3.74,1,16913.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,"Tide Liquid Laundry Detergent with a Touch of Downy, April Fresh",,14.99,1,18069.jpg,,92,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Original Scent Liquid Plus Bleach Alternative Original Scent Liquid Laundry Detergent Plus Bleach Alternative,,22.49,1,4527.jpg,,138,oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,"Tide Plus Febreze, Sport Odor Defense Liquid Laundry Detergent Pacs",,16.24,1,18077.jpg,,32,x 30 oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,"Tide Pods Liquid Laundry Detergent Pacs, Clean Breeze",,8.11,1,4510.jpg,,16,oz,,15
Dorm Essentials,Laundry,Other Laundry Products,Downy,Ultra Downy Ball Dispenser,,2.11,1,16904.jpg,,1,count,,15
Dorm Essentials,Laundry,Stain Remover,Oxi Clean,Oxi Clean White Revive Laundry Stain Remover,,9.36,1,16890.jpg,,50,fl oz,,15
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Angel Soft,"Angel Soft Bathroom Tissue Softness & Strength, Double Rolls",,8.74,1,4663.jpg,,12,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Charmin,Charmin Ultra Soft MegaRoll Bathroom Tissue - 6 CT,,11.24,1,16932.jpg,,6,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Charmin,Charmin Ultra Strong Toilet Paper 6 Rolls,,11.24,1,4624.jpg,,6,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Earth First,Earth First Recycled Paper Bath Tissue,,2.99,1,No Image.jpg,,4,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Market Basket,Market Basket Bath Tissue,,3.13,1,Market Basket.jpg,,4,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Market Basket,Market Basket Bathroom Tissue,,8.74,1,Market Basket.jpg,,12,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Market Basket,Market Basket Bathroom Tissue,,14.99,1,Market Basket.jpg,,20,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Quilted Northern,"Quilted Northern Bathroom Tissue Paper, Ultra Soft & Strong Double Rolls",,9.99,1,16935.jpg,,12,count ,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Scott,Scott Unscented Bathroom Tissue,,4.36,1,DE0148.jpg,,4,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Scott,Scott Comfort Plus unscented bathroom tissue,,7.49,1,DE0149.jpg,,12,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Scott,Scott Unscented Bathroom Tissue,,7.49,1,DE0150.jpg,,12,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Market Basket,Market Basket Bathroom tissue,,1.24,1,Market Basket.jpg,,1,unit,,14
Dorm Essentials,Trash Bags & Liners,Cooker Liner,Reynolds,Reynolds Kitchens Slow Cooker Liners,,3.09,1,4693.jpg,,4,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Glad,Glad Extra Strong 30 GAL Large Trash Drawstring Bags - 28 CT,,8.59,1,4669.jpg,,28,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Glad,Glad Force Flex Large Trash Drawstring Bags Extra Strong,,15.89,1,4680.jpg,,50,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Hefty,Hefty Extra Strong Multipurpose Large Drawstring Mega Pack Trash Bags,,14.09,1,4686.jpg,,56,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Hefty,Hefty Extra Strong Multipurpose Large Drawstring White Pine Odor Block Trash Bags,,8.59,1,4687.jpg,,28,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Hefty,Hefty Extra Strong Multipurpose Trash Drawstring Bags,,8.59,1,4683.jpg,,28,x 30 gal,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Glad,Glad Dual Defense Drawstring Large Trash Bags,,8.59,1,4671.jpg,,30,gal,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Glad,Glad Strong Quick Tie Large Trash Bags,,9.19,1,4674.jpg,,40,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Hefty,Hefty Ultra Strong Multipurpose Large Trash Drawstring Bags,,7.99,1,4688.jpg,,25,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Market Basket,Market Basket White Jumbo Bags,,2.99,1,Market Basket.jpg,,12,count,,12
Dorm Essentials,Trash Bags & Liners,Regular Trash Bags,Febreze,Glad Kitchen Pro Febreze Freshness Kitchen Drawstring Bags,,8.59,1,4673.jpg,,30,count,,12
Dorm Essentials,Trash Bags & Liners,Regular Trash Bags,Glad,Glad Drawstring Trash Bags,,9.19,1,4679.jpg,,28,count,,12
Dorm Essentials,Trash Bags & Liners,Regular Trash Bags,Glad,Glad Guaranteed Strong Trash Bags,,8.59,1,4672.jpg,,45,x 13 gal,,12
Dorm Essentials,Trash Bags & Liners,Regular Trash Bags,Glad,Glad Kitchen Trash Bags,,15.89,1,4667.jpg,,80,count,,12
Dorm Essentials,Trash Bags & Liners,Regular Trash Bags,Hefty,Hefty Storage Quart Slider Bags,,3.69,1,4684.jpg,,40,count,,12
Dorm Essentials,Laundry,Laundry Detergent,Meyer,Meyer's Clean Day Laundry Detergent Lavender,,17.49,1,DE0001.jpg,,64,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Meyer,Meyer's Clean Day Laundry Detergent Lemon Verbena Scent,,17.49,1,DE0002.jpg,,64,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean clean&fresh 32 medium loads laundry detergent,,2.49,1,DE0003.jpg,,45.4,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean plus OXI  original fresh 28 medium loads laundry detergent,,2.49,1,DE0004.jpg,,45.4,fl oz,,15
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Market Basket,Market Basket Supreme strong & soft Bathroom Tissues,,4.99,1,Market Basket.jpg,,6,count,,14
Dorm Essentials,Paper Goods,Bathroom Tissues / Toilet Paper,Market Basket,Market Basket Supreme strong & soft Bathroom Tissues,,17.49,1,Market Basket.jpg,,24,count,,14
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Aveeno,Aveeno� Daily Moisturizing Lotion,,15.17,1,17709.jpg,,18,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Aveeno,Aveeno� Skin Relief 24 Hour Moisturizing Lotion,,12.64,1,17761.jpg,,12,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Boorage,Borage Therapy Dry Skin Lotion Original Unscented,,14.71,1,17747.jpg,,8,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Eucerin,Eucerin Intensive Repair Alpha Hydroxy & Natural Moisturizing Factor Enriched Rich Feel Fragrance Free Lotion,,15.51,1,6368.jpg,,16.9,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Eucerin,Eucerin Original Healing Lotion,,10.57,1,6370.jpg,,8.4,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Eucerin,Eucerin Soothing Repair Lotion Original Healing,,15.51,1,6371.jpg,,16.9,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Gold Bond,Gold Bond Softening Lotion Shea Butter + Coconut Oil & Cocoa Butter,,14.02,1,17726.jpg,,14,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Gold Bond,Gold Bond Ultimate Hydrating Lotion Radiance Renewal Cream Oil,,12.64,1,17717.jpg,,14,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Gold Bond,Gold Bond Ultimate Skin Therapy Lotion Healing Aloe,,14.02,1,17760.jpg,,14,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Lubriderm,Lubriderm Advanced Therapy Lotion,,4.93,1,17735.jpg,,6,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Nivea,Nivea Hydrating In-Shower Body Lotion,,10.57,1,17764.jpg,,13.5,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Olay,Olay Quench Ultra Moisture Shea Butter Body Lotion,,7.00,1,6376.jpg,,8.4,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Suave,Suave Body Lotion Advanced Therapy,,3.55,1,17711.jpg,,10,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Suave,Suave Sea Mineral Infusion Body Lotion,,3.55,1,17752.jpg,,10,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Vaseline,Vaseline Hand And Body Lotion Advanced Repair Unscented,,5.62,1,17729.jpg,,10,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Vaseline,Vaseline Hand And Body Lotion Essential Healing,,5.62,1,18140.jpg,,10,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Vaseline,Vaseline Spray Lotion Aloe Soothe,,9.88,1,17733.jpg,,6.5,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotion,Vaseline,Vaseline Spray On Lotion Spray Moisturizer Cocoa Radiant,,9.88,1,18144.jpg,,6.5,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotions & Soap,Aquaphor,Aquaphor Advanced Therapy Healing Ointment Skin Protectant,,7.69,1,17751.jpg,,1.75,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Lotions & Soap,Topcare,TopCare Epsom Salt,,3.21,1,17756.jpg,,4,lb,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Sponge,Topcare,Topcare Net Body Sponge,,1.48,1,17748.jpg,,1,count,,15
Personal Care,"Body Wash, Soap & Hair Care",Body Wash,Aveeno,Aveeno� Positively Nourishing Hydrating Body Wash,,9.19,1,17749.jpg,,16,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Wash,Axe,Axe Men's Body Wash Phoenix,,7.00,1,18133.jpg,,16,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Wash,Dial,Dial Body Wash Coconut Water Hydrating Body Wash,,5.62,1,17743.jpg,,16,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Wash,Dial,Dial Body Wash Himalayan Salt,,5.62,1,6333.jpg,,16,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Wash,Dial,Dial Body Wash Sea Minerals,,5.62,1,6340.jpg,,16,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Wash,Dial,Dial Body Wash Vitamin Boost Lotion Infused Moisturizing Body Wash,,5.62,1,17755.jpg,,16,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Wash,Dial,Dial Hydrating Body Wash Spring Water,,5.62,1,6335.jpg,,16,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Wash,Dove,Dove Body Wash Sensitive Skin,,9.88,1,18136.jpg,,22,fl oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Body Wash,Dove,Dove Men+care Body Wash Extra Fresh,,7.00,1,17736.jpg,,13.5,oz,,13
Personal Care,Personal Care,Family Planning,Answer,Answer Early Value Pack Pregnancy Test,,14.02,1,6751.jpg,,2,count,,13
Personal Care,Personal Care,Family Planning,First Response,First Response Early Result Pregnancy Test,,19.31,1,6752.jpg,,2,count,,13
Personal Care,Personal Care,Family Planning,KY,KY Jelly Personal Lubricant,,3.78,1,6753.jpg,,2,fl oz,,13
Personal Care,Personal Care,Family Planning,Topcare,TopCare Pregnancy Test Early,,12.98,1,6754.jpg,,2,count,,13
Personal Care,Personal Care,Family Planning,Trojan,Trojan Magnum Large Size Lubricated Latex Condoms,,9.88,1,6755.jpg,,12,count,,13
Personal Care,Feminine Care,Anti-Itch care,Vagisil,Vagisil Anti-Itch Creme,,5.62,1,17807.jpg,,1,oz,,13
Personal Care,Feminine Care,Anti-Itch care,Vagisil,Vagisil Anti-Itch Wipes Medicated,,9.19,1,17806.jpg,,20,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Maxi Extra Heavy Overnight Pads Size 5,,8.50,1,6492.jpg,,20,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,"Always Maxi Regular Pads Without Wings, Unscented",,4.93,1,6490.jpg,,24,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Maxi Super Pads Without Wings Unscented,,4.93,1,6501.jpg,,22,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,"Always Pads, Maxi, Regular, Lightly Scented",,4.70,1,6494.jpg,,22,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Size 1 Regular Pads With Wings,,8.50,1,6489.jpg,,36,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Size 2 Super Pads With Wings,,4.93,1,6499.jpg,,16,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Size 4 Overnight Pads With Wings,,11.26,1,6491.jpg,,38,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Size 4 Overnight Pads With Wings,,6.31,1,6495.jpg,,26,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Ultra Thin Long Super Pads with Flexi-Wings,,11.26,1,6500.jpg,,42,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Ultra Thin Pads Overnight,,4.93,1,6497.jpg,,14,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Xtra Protection Long,,8.50,1,6496.jpg,,80,count,,13
Personal Care,Feminine Care,Menstrual Pads,Always,Always Xtra Protection Long,,4.93,1,6498.jpg,,40,count,,13
